mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tfidf__max_df,param_tfidf__max_features,param_tfidf__min_df,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.214187574386597,0.36728627755546805,0.4495368957519531,0.11043313958211377,0.95,50000,3,"(1, 2)","{'tfidf__max_df': 0.95, 'tfidf__max_features': 50000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",-0.48312188251274146,-0.47994429247667064,-0.5265740556981142,-0.5171326470193699,-0.516033270031942,-0.5045612295477676,0.01918255435176379,1,-8.376177660785969e-06,-6.296148043684566e-06,-6.044284500733921e-06,-5.478209481398943e-06,-5.781120027399283e-06,-6.395187942800537e-06,1.027150553077277e-06
2.004072570800781,0.36049570778492435,0.36520895957946775,0.061560973382143946,0.9,50000,3,"(1, 2)","{'tfidf__max_df': 0.9, 'tfidf__max_features': 50000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",-0.48447370572891213,-0.4840613826024715,-0.528920426202283,-0.5200703753360401,-0.5160550705418896,-0.5067161920823192,0.018796518112993408,2,-7.88755067532728e-06,-8.363337928576904e-06,-5.715415919298293e-06,-6.981341370594685e-06,-8.819996346879243e-06,-7.553528448135281e-06,1.1024843673986795e-06
2.440935564041138,0.5303115541372493,0.37656846046447756,0.058286503762097444,0.95,20000,3,"(1, 2)","{'tfidf__max_df': 0.95, 'tfidf__max_features': 20000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",-0.48399010982019336,-0.4832496509130465,-0.5294424149582907,-0.5191674903533208,-0.5184226211939651,-0.5068544574477633,0.01936808870418267,3,-7.994212225162272e-06,-6.503833796672814e-06,-8.548411508637648e-06,-8.184492058900315e-06,-6.5846212986584576e-06,-7.563114177606301e-06,8.511509934303945e-07
1.9362897396087646,0.2078687828553573,0.35112528800964354,0.05174362124319388,0.85,50000,3,"(1, 2)","{'tfidf__max_df': 0.85, 'tfidf__max_features': 50000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",-0.4882003151576262,-0.48553764167246677,-0.5307117355147748,-0.5212393412043675,-0.5134124738936723,-0.5078203014885816,0.017982333346844785,4,-7.068834298092057e-06,-7.428449021692884e-06,-5.7387150850565456e-06,-7.122603706541456e-06,-7.68190758812921e-06,-7.008101939902431e-06,6.721380486034576e-07
1.8847949028015136,0.1911647823679158,0.35016565322875975,0.07039017137288718,0.9,20000,3,"(1, 2)","{'tfidf__max_df': 0.9, 'tfidf__max_features': 20000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",-0.4843965448660783,-0.48618723616127923,-0.532269925285871,-0.5219649068316762,-0.5194636399728524,-0.5088564506235514,0.01972163867337746,5,-7.7538426451819e-06,-7.963157908981826e-06,-8.641821353037e-06,-7.211731807346595e-06,-5.985248476838908e-06,-7.511160438277246e-06,8.899050837385315e-07
1.8107714176177978,0.18405991031459637,0.3140012264251709,0.03641372912930373,0.85,20000,3,"(1, 2)","{'tfidf__max_df': 0.85, 'tfidf__max_features': 20000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",-0.4877188744367457,-0.48793510125751327,-0.5333052310803438,-0.520724740745783,-0.5150375727758821,-0.5089443040592536,0.01822781853393292,6,-7.324933352257586e-06,-7.452645404643133e-06,-8.345073844861153e-06,-7.189508318372105e-06,-8.646311528576268e-06,-7.79169448974205e-06,5.885656157641555e-07
2.433168411254883,0.46594982563890747,0.41300210952758787,0.07947892815767463,0.95,20000,1,"(1, 2)","{'tfidf__max_df': 0.95, 'tfidf__max_features': 20000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",-0.48545572089511846,-0.4891496933284173,-0.5342327610407174,-0.5185359339786865,-0.5213153342045307,-0.5097378886894941,0.01910465429201545,7,-7.483172905668266e-06,-8.57194545988269e-06,-8.058710887074777e-06,-7.675853500792577e-06,-6.395637982695816e-06,-7.637064147222825e-06,7.236180058757818e-07
1.8110890865325928,0.18094122497417858,0.32517452239990235,0.03918829428341921,0.9,20000,1,"(1, 2)","{'tfidf__max_df': 0.9, 'tfidf__max_features': 20000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",-0.4905632628752344,-0.493154891515782,-0.536429391812976,-0.5211164720155872,-0.5222533731908244,-0.5127034782820808,0.017873076467271397,8,-7.37391590345981e-06,-7.4093253355760074e-06,-8.473797296967849e-06,-6.746227471455151e-06,-8.958037649723352e-06,-7.792260731436434e-06,8.04905635071782e-07
1.7595174312591553,0.24323079313621712,0.2993454456329346,0.041729884637623685,0.85,20000,1,"(1, 2)","{'tfidf__max_df': 0.85, 'tfidf__max_features': 20000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",-0.49174522288179445,-0.4958239209157361,-0.5392428751841652,-0.5229027446639941,-0.5175676554837619,-0.5134564838258904,0.017625876897716403,9,-6.365800237888539e-06,-6.9812521167895464e-06,-7.666022054777085e-06,-6.704947405053082e-06,-7.806418967999455e-06,-7.104888156501542e-06,5.5290255157656e-07
2.135812997817993,0.2781199452858731,0.4409016132354736,0.10893842851382357,0.95,20000,5,"(1, 2)","{'tfidf__max_df': 0.95, 'tfidf__max_features': 20000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",-0.4917600983555806,-0.49214016762025564,-0.5358710369860125,-0.5272330376590852,-0.5250282713214213,-0.5144065223884711,0.01869073303769279,10,-8.365273015556528e-06,-9.060018115459958e-06,-9.079047733301379e-06,-7.852362609753981e-06,-7.153223513702289e-06,-8.301984997554828e-06,7.354263137452033e-07
1.7557034492492676,0.21180027312409033,0.18984770774841309,0.020146538956627217,0.95,50000,5,"(1, 2)","{'tfidf__max_df': 0.95, 'tfidf__max_features': 50000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",-0.4917600983555806,-0.49214016762025564,-0.5358710369860125,-0.5272330376590852,-0.5250282713214213,-0.5144065223884711,0.01869073303769279,10,-8.365273015556528e-06,-9.060018115459958e-06,-9.079047733301379e-06,-7.852362609753981e-06,-7.153223513702289e-06,-8.301984997554828e-06,7.354263137452033e-07
2.296510124206543,0.3697163006031448,0.39248027801513674,0.05980130577943801,0.95,50000,1,"(1, 2)","{'tfidf__max_df': 0.95, 'tfidf__max_features': 50000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",-0.5020637251254735,-0.49728609386945116,-0.539448075038417,-0.526840575677742,-0.5147068432187965,-0.5160690625859761,0.015578246052301915,12,-6.119538759651727e-06,-7.194609482330255e-06,-5.017197319708409e-06,-6.085410093833823e-06,-7.471099565088872e-06,-6.3775710441226175e-06,8.793078853797367e-07
1.8298608303070067,0.15179934596976796,0.3199331283569336,0.02550246638530272,0.9,20000,5,"(1, 2)","{'tfidf__max_df': 0.9, 'tfidf__max_features': 20000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",-0.4933732164429929,-0.4959537493074956,-0.539121136388054,-0.5292604174954362,-0.5249454862320592,-0.5165308011732076,0.018454604279101807,13,-9.783906032995163e-06,-7.86799643237483e-06,-9.697548395666089e-06,-6.989140705944796e-06,-1.010929225018023e-05,-8.88957676343222e-06,1.232528494673146e-06
