mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ord__alpha,param_tfidf__max_df,param_tfidf__max_features,param_tfidf__min_df,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
4.098938655853272,2.658066256349819,0.3343770503997803,0.03209634308110035,0.0,0.9,20000,5,"(1, 2)","{'ord__alpha': 0.0, 'tfidf__max_df': 0.9, 'tfidf__max_features': 20000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",-0.24495677233429394,-0.2132564841498559,-0.21037463976945245,-0.22254335260115607,-0.26011560693641617,-0.2302493711582349,0.01924289774212445,11,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
3.8610989570617678,2.7080579520240566,0.37059807777404785,0.11413513366687925,0.0,0.9,50000,5,"(1, 2)","{'ord__alpha': 0.0, 'tfidf__max_df': 0.9, 'tfidf__max_features': 50000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",-0.24495677233429394,-0.2132564841498559,-0.21037463976945245,-0.22254335260115607,-0.26011560693641617,-0.2302493711582349,0.01924289774212445,11,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
4.464408922195434,1.1223126852276495,0.30440692901611327,0.009631245705752195,0.1,0.9,20000,3,"(1, 2)","{'ord__alpha': 0.1, 'tfidf__max_df': 0.9, 'tfidf__max_features': 20000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",-0.2334293948126801,-0.1988472622478386,-0.2219020172910663,-0.24566473988439305,-0.2514450867052023,-0.23025770018823608,0.018723113601613505,13,-0.0021645021645021645,-0.0036075036075036075,-0.0021645021645021645,-0.003604902667627974,-0.004325883201153569,-0.0031734587610578956,0.0008647089326286628
4.815832805633545,1.1852409270536561,0.3443023681640625,0.023396163416522734,0.0,0.9,50000,1,"(1, 2)","{'ord__alpha': 0.0, 'tfidf__max_df': 0.9, 'tfidf__max_features': 50000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",-0.25360230547550433,-0.2132564841498559,-0.2017291066282421,-0.2398843930635838,-0.24855491329479767,-0.23140544052239673,0.020340930544708435,14,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
4.885060262680054,0.2613666910507216,0.3069742679595947,0.014251395004037047,0.1,0.95,50000,3,"(1, 2)","{'ord__alpha': 0.1, 'tfidf__max_df': 0.95, 'tfidf__max_features': 50000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",-0.23919308357348704,-0.207492795389049,-0.21613832853025935,-0.24855491329479767,-0.24566473988439305,-0.2314087721343972,0.016510473459675445,15,-0.0021645021645021645,-0.0036075036075036075,-0.0021645021645021645,-0.002883922134102379,-0.002883922134102379,-0.002740870440942539,0.0005397001759105059
2.397001552581787,0.1423018164993141,0.35128026008605956,0.05049243388977229,0.0,0.95,10000,3,"(1, 2)","{'ord__alpha': 0.0, 'tfidf__max_df': 0.95, 'tfidf__max_features': 10000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",-0.23054755043227665,-0.21613832853025935,-0.2132564841498559,-0.24566473988439305,-0.2514450867052023,-0.23141043794039745,0.015284765055150253,16,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
5.791997194290161,1.1114130344274384,0.4814902782440186,0.2164203989480904,0.01,0.95,50000,5,"(1, 2)","{'ord__alpha': 0.01, 'tfidf__max_df': 0.95, 'tfidf__max_features': 50000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",-0.22478386167146974,-0.21613832853025935,-0.21037463976945245,-0.25722543352601157,-0.24855491329479767,-0.23141543535839815,0.01833030578557738,17,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
6.057046747207641,1.92189864027067,0.33420686721801757,0.01360475564730967,0.01,0.95,20000,5,"(1, 2)","{'ord__alpha': 0.01, 'tfidf__max_df': 0.95, 'tfidf__max_features': 20000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",-0.22478386167146974,-0.21613832853025935,-0.21037463976945245,-0.25722543352601157,-0.24855491329479767,-0.23141543535839815,0.01833030578557738,17,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
4.98397307395935,1.9602074431328387,0.5235865592956543,0.376342688064615,0.0,0.95,50000,1,"(1, 2)","{'ord__alpha': 0.0, 'tfidf__max_df': 0.95, 'tfidf__max_features': 50000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",-0.23631123919308358,-0.207492795389049,-0.20461095100864554,-0.2543352601156069,-0.2543352601156069,-0.2314171011643984,0.021750304363271456,19,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
3.5514553070068358,1.4198477297720442,0.3471202373504639,0.09789857316282904,0.0,0.95,10000,5,"(1, 2)","{'ord__alpha': 0.0, 'tfidf__max_df': 0.95, 'tfidf__max_features': 10000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",-0.2507204610951009,-0.21613832853025935,-0.20461095100864554,-0.2398843930635838,-0.24855491329479767,-0.23198180939847743,0.01837626427632898,20,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
3.721083927154541,1.0330426117657248,0.4013063907623291,0.19309056657306803,0.0,0.85,50000,3,"(1, 2)","{'ord__alpha': 0.0, 'tfidf__max_df': 0.85, 'tfidf__max_features': 50000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",-0.2420749279538905,-0.2132564841498559,-0.20461095100864554,-0.24855491329479767,-0.2514450867052023,-0.2319884726224784,0.019262188095439437,21,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
5.708511066436768,0.9677097113144073,0.3293025970458984,0.028935655557603805,0.01,0.95,20000,3,"(1, 2)","{'ord__alpha': 0.01, 'tfidf__max_df': 0.95, 'tfidf__max_features': 20000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",-0.2276657060518732,-0.20461095100864554,-0.2219020172910663,-0.26011560693641617,-0.24566473988439305,-0.23199180423447885,0.019225646918259058,22,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
4.286909770965576,1.479107329443807,0.3692792892456055,0.1360029027075321,0.1,0.95,20000,3,"(1, 2)","{'ord__alpha': 0.1, 'tfidf__max_df': 0.95, 'tfidf__max_features': 20000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",-0.23919308357348704,-0.207492795389049,-0.2219020172910663,-0.24855491329479767,-0.24566473988439305,-0.2325615098865586,0.01557900245504177,23,-0.0021645021645021645,-0.004329004329004329,-0.002886002886002886,-0.003604902667627974,-0.005767844268204758,-0.003750451263068422,0.001240023235327944
3.070081329345703,0.16953834693365344,0.3218702793121338,0.026013193629306028,0.0,0.85,20000,3,"(1, 2)","{'ord__alpha': 0.0, 'tfidf__max_df': 0.85, 'tfidf__max_features': 20000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",-0.24495677233429394,-0.21613832853025935,-0.207492795389049,-0.24855491329479767,-0.24566473988439305,-0.2325615098865586,0.017200508437384073,23,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
8.131846570968628,1.2471421291890255,0.4952822685241699,0.18854568694677282,0.01,0.95,50000,3,"(1, 2)","{'ord__alpha': 0.01, 'tfidf__max_df': 0.95, 'tfidf__max_features': 50000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",-0.23919308357348704,-0.1988472622478386,-0.21902017291066284,-0.26011560693641617,-0.24566473988439305,-0.2325681731105595,0.021423906035647224,25,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
3.1918850898742677,0.454649492803749,0.29275784492492674,0.012634914583216715,0.1,0.95,10000,3,"(1, 2)","{'ord__alpha': 0.1, 'tfidf__max_df': 0.95, 'tfidf__max_features': 10000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",-0.2420749279538905,-0.21902017291066284,-0.21613832853025935,-0.24277456647398843,-0.24566473988439305,-0.23313454715063883,0.012790255032520372,26,-0.002886002886002886,-0.008658008658008658,-0.005772005772005772,-0.006488824801730353,-0.007209805335255948,-0.0062029294906007235,0.0019136690500320666
4.829336738586425,0.5307496895442261,0.38973684310913087,0.1710732966712399,0.01,0.95,10000,5,"(1, 2)","{'ord__alpha': 0.01, 'tfidf__max_df': 0.95, 'tfidf__max_features': 10000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",-0.23631123919308358,-0.2132564841498559,-0.22478386167146974,-0.2398843930635838,-0.2514450867052023,-0.23313621295663908,0.013082805308654705,27,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
5.368617391586303,1.2965301864599956,0.46572103500366213,0.19080874761592526,0.1,0.9,50000,3,"(1, 2)","{'ord__alpha': 0.1, 'tfidf__max_df': 0.9, 'tfidf__max_features': 50000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",-0.2420749279538905,-0.207492795389049,-0.21613832853025935,-0.2514450867052023,-0.2514450867052023,-0.2337192450567207,0.018412732817555715,28,-0.0021645021645021645,-0.0036075036075036075,-0.0021645021645021645,-0.0021629416005767843,-0.002883922134102379,-0.00259667433423742,0.0005772272985670711
