lr,epochs,batch_size,val_qwk,val_MAE
2e-05,3,8,0.8247327216095631,0.138328530259366
2e-05,3,16,0.7929411244695899,0.15561959654178675
2e-05,4,8,0.80190569112442,0.1585014409221902
2e-05,4,16,0.7071034792012871,0.1844380403458213
3e-05,3,8,0.8021217761805877,0.15273775216138327
3e-05,3,16,0.816590259425058,0.14121037463976946
3e-05,4,8,0.7931696763654024,0.15561959654178675
3e-05,4,16,0.7908248108422715,0.16714697406340057
5e-05,3,8,0.8184006698764915,0.1440922190201729
5e-05,3,16,0.8093809423198817,0.14985590778097982
5e-05,4,8,0.7864891997797856,0.1642651296829971
5e-05,4,16,0.7804445944235879,0.1729106628242075
