stratum,pfj,mfj,mrj,pfj*mfj,pfj*mrj,model
1,0.04854368932038835,1.6,1.8333333333333333,0.07766990291262137,0.0889967637540453,y_pred_tfidf
2,0.2621359223300971,2.259259259259259,2.2753623188405796,0.5922330097087378,0.5964542000844237,y_pred_tfidf
3,0.38349514563106796,2.9873417721518987,3.097560975609756,1.145631067961165,1.1878995974425763,y_pred_tfidf
4,0.18932038834951456,3.7435897435897436,3.696969696969697,0.7087378640776699,0.6999117387466902,y_pred_tfidf
5,0.09223300970873786,4.368421052631579,4.428571428571429,0.4029126213592233,0.4084604715672677,y_pred_tfidf
6,0.024271844660194174,5.2,4.666666666666667,0.1262135922330097,0.11326860841423948,y_pred_tfidf
1,0.04854368932038835,1.4,1.75,0.06796116504854369,0.08495145631067962,y_pred_bert
2,0.2621359223300971,2.185185185185185,2.1449275362318843,0.5728155339805825,0.5622625580413677,y_pred_bert
3,0.38349514563106796,3.050632911392405,3.1219512195121952,1.1699029126213591,1.1972531375799196,y_pred_bert
4,0.18932038834951456,4.230769230769231,3.8181818181818183,0.8009708737864077,0.7228596646072375,y_pred_bert
5,0.09223300970873786,4.7894736842105265,4.785714285714286,0.441747572815534,0.4414008321775312,y_pred_bert
6,0.024271844660194174,5.0,4.833333333333333,0.12135922330097088,0.11731391585760517,y_pred_bert
1,0.04854368932038835,2.2,2.1666666666666665,0.10679611650485438,0.10517799352750808,y_pred_chatgpt_zeroshot
2,0.2621359223300971,2.4074074074074074,2.2028985507246377,0.6310679611650485,0.577458843393837,y_pred_chatgpt_zeroshot
3,0.38349514563106796,2.8860759493670884,2.731707317073171,1.1067961165048543,1.0475964953824297,y_pred_chatgpt_zeroshot
4,0.18932038834951456,3.41025641025641,3.121212121212121,0.645631067961165,0.5909090909090909,y_pred_chatgpt_zeroshot
5,0.09223300970873786,3.6315789473684212,3.5,0.33495145631067963,0.32281553398058255,y_pred_chatgpt_zeroshot
6,0.024271844660194174,4.2,4.0,0.10194174757281553,0.0970873786407767,y_pred_chatgpt_zeroshot
1,0.04854368932038835,2.8,3.0,0.13592233009708737,0.14563106796116504,y_pred_chatgpt_fewshot
2,0.2621359223300971,3.3333333333333335,3.130434782608696,0.8737864077669903,0.8205994090333474,y_pred_chatgpt_fewshot
3,0.38349514563106796,3.7721518987341773,3.548780487804878,1.4466019417475728,1.360940089983424,y_pred_chatgpt_fewshot
4,0.18932038834951456,4.102564102564102,4.121212121212121,0.7766990291262135,0.7802294792586054,y_pred_chatgpt_fewshot
5,0.09223300970873786,4.578947368421052,4.071428571428571,0.4223300970873786,0.37552011095700416,y_pred_chatgpt_fewshot
6,0.024271844660194174,4.8,4.833333333333333,0.11650485436893203,0.11731391585760517,y_pred_chatgpt_fewshot
